n_cal,x_test,p_true,ambiguity,mean_mid,sd_mid_across_resamples,mean_width,abs_error
50,-1.2320534223706177,0.10049246859748563,0.180787464705338,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3911741980691809
50,-1.2253756260434057,0.10051258795207382,0.18081961523050089,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39115407871459273
50,-1.2186978297161937,0.10053352871600063,0.18085307663981942,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3911331379506659
50,-1.2120200333889817,0.10055532437906992,0.1808879022361799,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3911113422875966
50,-1.2053422370617697,0.100578009792691,0.18092414747766472,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39108865687397554
50,-1.1986644407345577,0.10060162122491996,0.18096187006367537,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3910650454417466
50,-1.1919866444073457,0.10062619641769935,0.18100113002441187,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39104047024896715
50,-1.1853088480801335,0.10065177464638204,0.18104198981383193,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3910148920202845
50,-1.1786310517529215,0.10067839678162772,0.18108451440621773,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3909882698850388
50,-1.1719532554257095,0.10070610535376413,0.1811287713964814,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3909605613129024
50,-1.1652754590984975,0.10073494461970844,0.18117483110434543,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3909317220469581
50,-1.1585976627712853,0.10076496063254742,0.18122276668253717,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3909017060341191
50,-1.1519198664440733,0.10079620131387862,0.18127265422914135,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3908704653527879
50,-1.1452420701168613,0.10082871652901884,0.1813245729042592,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39083795013764766
50,-1.1385642737896493,0.10086255816518937,0.1813786050511263,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3908041085014772
50,-1.1318864774624373,0.10089778021279167,0.1814348363218457,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39076888645387486
50,-1.1252086811352253,0.10093443884989109,0.18149335580789738,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3907322278167754
50,-1.1185308848080133,0.10097259253003038,0.18155425617558965,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39069407413663615
50,-1.1118530884808013,0.10101230207349869,0.1816176338066219,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3906543645931678
50,-1.1051752921535893,0.1010536307621863,0.18168358894393202,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3906130359044802
50,-1.0984974958263773,0.10109664443815977,0.18175222584300813,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3905700222285068
50,-1.0918196994991654,0.10114141160609635,0.18182365292884511,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3905252550605702
50,-1.0851419031719534,0.10118800353972163,0.1818979829587338,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3904786631269449
50,-1.0784641068447414,0.1012364943923986,0.1819753331910729,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3904301722742679
50,-1.0717863105175292,0.10128696131202154,0.18205582556039718,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.390379705354645
50,-1.0651085141903172,0.10133948456037291,0.1821395868588217,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39032718210629364
50,-1.0584307178631052,0.1013941476371061,0.18222674892410165,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39027251902956045
50,-1.0517529215358932,0.10145103740852279,0.18231744883451462,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39021562925814374
